,1935,1947,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2013,2014,2015
ëSÅ@Å@Å@çë,69254148,78101473,83199637,89275529,93418501,98274961,103119447,111251507,116320358,120265700,122721397,124298947,125612633,126204902,126381728,125704000,125431000,125319299
ÇOÇPñkäCìπ,3068282,3852821,4295567,4773087,5039206,5171800,5177286,5330284,5566372,5688500,5635049,5675838,5670558,5612068,5488092,5412000,5381000,5360032
ÇOÇQê¬Å@êX,967129,1180245,1282867,1382523,1426606,1416591,1425702,1466742,1521778,1521200,1480947,1478123,1472690,1432727,1369629,1333000,1318000,1304813
ÇOÇRä‚Å@éË,1046111,1262743,1346728,1427097,1448517,1411118,1369948,1383931,1420078,1454600,1415036,1416864,1412338,1379659,1324924,1290000,1280000,1274574
ÇOÇSã{Å@èÈ,1234801,1566831,1663442,1727065,1743195,1753126,1815282,1950790,2076657,2167900,2243117,2319433,2354916,2348339,2335682,2317000,2316000,2319616
ÇOÇTèHÅ@ìc,1037744,1257398,1309031,1348871,1335580,1279835,1240345,1231389,1255499,1252900,1226062,1211616,1186209,1141865,1082603,1047000,1034000,1020199
ÇOÇUéRÅ@å`,1116822,1335653,1357347,1353649,1320664,1263103,1224918,1219429,1250989,1251200,1256930,1253941,1239132,1209795,1162744,1136000,1125000,1118381
ÇOÇVïüÅ@ìáÅ@Å@,1581563,1992460,2062394,2095237,2051137,1983754,1943989,1968270,2032547,2054200,2100255,2127214,2118100,2081248,2019618,1939000,1928000,1905278
ÇOÇWàÔÅ@èÈ,1548991,2013735,2039418,2064037,2047024,2056154,2140122,2338151,2552775,2717500,2834279,2929220,2954817,2937843,2929085,2894000,2881000,2875434
ÇOÇXì»Å@ñÿ,1195057,1534311,1550462,1547580,1513624,1521656,1578146,1695848,1789218,1883800,1925886,1965431,1983723,1990257,1980746,1961000,1954000,1947505
ÇPÇOåQÅ@în,1242453,1572787,1601380,1613549,1578476,1605584,1656209,1753436,1845138,1913200,1955819,1981799,1996251,1989184,1972287,1950000,1941000,1935898
ÇPÇPçÈÅ@ã ,1528854,2100453,2146445,2262623,2430871,3014983,3858607,4809517,5405466,5854900,6374361,6696390,6875484,6974003,7104590,7134000,7143000,7160471
ÇPÇQêÁÅ@ót,1546394,2112917,2139037,2205060,2306010,2701770,3358440,4136216,4719383,5168100,5527777,5744010,5868599,5983085,6135236,6114000,6114000,6130930
ÇPÇRìåÅ@ãû,6369919,5000777,6277500,8037084,9683802,10869244,11324994,11568852,11506944,11780500,11695218,11543005,11850305,12325038,12833956,12979000,13044000,13131172
ÇPÇSê_ìﬁêÏ,1840005,2218120,2487665,2919497,3443176,4430743,5439126,6359334,6883647,7380200,7918632,8152458,8390552,8675683,8921252,8956000,8967000,8979438
ÇPÇTêVÅ@äÉ,1995777,2418271,2460997,2473492,2442037,2398931,2358323,2388992,2448056,2448900,2470352,2480287,2466374,2420575,2362420,2319000,2302000,2292676
ÇPÇUïxÅ@éR,798890,979229,1008790,1021121,1032614,1025465,1027956,1068930,1101485,1125400,1117550,1117592,1113787,1101133,1082108,1065000,1059000,1055528
ÇPÇVêŒÅ@êÏ,768416,927743,957279,966187,973418,980499,999535,1066669,1115559,1157700,1160786,1175042,1174630,1166366,1159897,1150000,1146000,1144626
ÇPÇWïüÅ@à‰,646659,726264,752374,754055,752696,750557,740024,768867,789497,822000,818325,819320,819080,810772,795496,784000,780000,777192
ÇPÇXéRÅ@óú,646727,807251,811369,807044,782062,763194,760492,781360,802490,823100,850075,873970,877168,870939,850546,836000,830000,823723
ÇQÇOí∑Å@ñÏ,1714000,2060010,2060831,2021292,1981433,1958007,1952346,2012816,2078832,2170400,2148242,2173400,2181873,2161328,2122509,2095000,2083000,2072135
ÇQÇPäÚÅ@ïå,1225799,1493644,1544538,1583605,1638399,1700365,1749524,1858066,1949993,2038300,2055219,2081104,2081092,2070404,2043467,2018000,2008000,1996303
ÇQÇQê√Å@â™,1939860,2353005,2471472,2650435,2756271,2912521,3082792,3300856,3438445,3582000,3650475,3699146,3714992,3721561,3702776,3668000,3651000,3640343
ÇQÇRà§Å@ím,2862701,3122902,3390585,3769209,4206313,4798653,5340594,5873395,6167929,6477200,6625160,6769815,6932577,7103849,7247125,7289000,7298000,7315314
ÇQÇSéOÅ@èd,1174595,1416494,1461197,1485582,1485054,1514467,1535937,1618449,1678831,1738300,1782332,1824717,1833408,1832672,1821502,1802000,1793000,1784379
ÇQÇTé†Å@âÍ,711436,858367,861180,853734,842695,853385,883837,978639,1072440,1165900,1213357,1272620,1324040,1357591,1388741,1397000,1397000,1392890
ÇQÇUãûÅ@ìs,1702508,1739084,1832934,1935161,1993403,2102808,2210609,2381360,2483007,2565400,2556321,2572600,2599052,2601322,2593340,2576000,2569000,2565573
ÇQÇVëÂÅ@ç„,4297174,3334659,3857047,4618308,5504746,6657189,7464961,8108360,8295801,8653300,8557249,8603130,8633901,8640236,8697550,8690000,8678000,8683865
ÇQÇWï∫Å@å…,2923249,3057444,3309935,3620947,3906487,4309944,4599673,4918041,5063478,5275600,5326121,5318913,5467653,5504338,5507961,5483000,5468000,5456154
ÇQÇXìﬁÅ@ó«,620471,779935,763883,776861,781058,825965,925403,1071894,1202655,1303900,1368434,1421770,1434340,1412450,1391395,1374000,1367000,1355570
ÇRÇOòaâÃéR,864087,959999,982113,1006819,1002191,1026975,1038348,1067419,1081999,1086600,1069930,1075666,1065104,1030942,997305,975000,967000,958901
ÇRÇPíπÅ@éÊ,490461,587606,600177,614259,599135,579853,567405,579779,602335,620200,613792,612602,610224,603156,585005,574000,571000,570037
ÇRÇQìáÅ@ç™,747119,894267,912551,929066,888886,821620,772000,767357,783143,797500,779317,768865,757072,737753,712516,697000,692000,688953
ÇRÇRâ™Å@éR,1332647,1619622,1661099,1689800,1670454,1645135,1700064,1806484,1862741,1914100,1917173,1937865,1938268,1942414,1926378,1913000,1907000,1903981
ÇRÇSçLÅ@ìá,1804916,2011498,2081967,2149044,2184043,2281146,2422069,2630578,2722521,2820200,2832764,2858462,2855782,2849333,2827820,2809000,2801000,2808773
ÇRÇTéRÅ@å˚,1190542,1479244,1540882,1609839,1602207,1543573,1497703,1541072,1572752,1588500,1559181,1542204,1515291,1480129,1439011,1408000,1397000,1393199
ÇRÇUìøÅ@ìá,728748,854811,878511,878109,847274,815115,790845,804784,824433,831400,830753,830479,821369,805743,781300,766000,760000,751830
ÇRÇVçÅÅ@êÏ,748656,917673,946022,943823,918867,900845,906951,960233,998442,1034000,1021571,1023865,1017973,1006383,988786,979000,974000,969270
ÇRÇWà§Å@ïQ,1164898,1453887,1521878,1540628,1500687,1446384,1416299,1463158,1504298,1533600,1512674,1503411,1488550,1461038,1423425,1398000,1388000,1377071
ÇRÇXçÇÅ@ím,714980,848337,873874,882683,854595,812714,786058,807035,829609,843400,823853,814302,811516,793365,761239,742000,735000,725032
ÇSÇOïüÅ@â™,2755804,3178134,3530169,3859764,4006679,3964611,4004275,4266394,4523770,4753200,4784331,4896451,4984938,5011273,5030961,5047000,5046000,5053500
ÇSÇPç≤Å@âÍ,686117,917797,945082,973749,942874,871885,837063,836326,864052,890700,876300,882320,874068,863046,846146,836000,831000,828944
ÇSÇQí∑Å@çË,1296883,1531674,1645492,1747596,1760421,1641245,1566634,1568429,1586916,1599500,1558502,1540498,1511864,1472955,1420166,1391000,1380000,1369432
ÇSÇRåFÅ@ñ{,1387054,1765726,1827582,1895663,1856192,1770736,1697991,1713300,1788076,1836200,1837612,1855087,1854933,1835575,1809626,1793000,1785000,1777726
ÇSÇSëÂÅ@ï™,980458,1233651,1252999,1277199,1239655,1187480,1152520,1187299,1225548,1246300,1233612,1227269,1216436,1202682,1187599,1170000,1163000,1157581
